name,short_name,category,price,description,width,length,weight,height,depth,colors,material_id,currency_code
Maita 2 Door small,maita-2-door-sm,67eed26fc2f0d5fe393d6e3a,150,"Upgrade your entertainment area with this sleek and functional Modern TV Stand in a rich walnut finish. Designed to blend effortlessly with a variety of interior styles, it features a clean, minimalist profile with two open shelves for media devices and two side cabinets for additional storage. The unit stands on elegant gold-tone metal legs, offering both style and stability. A rear cable management hole ensures your space stays neat and clutter-free.",400,1600,,313,400,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A,663e701bc2d2b8bcb6bfd9ef,USD
Maita 2 Door Standard,maita-2-door,67eed26fc2f0d5fe393d6e3a,180,"Upgrade your entertainment area with this sleek and functional Modern TV Stand in a rich walnut finish. Designed to blend effortlessly with a variety of interior styles, it features a clean, minimalist profile with two open shelves for media devices and two side cabinets for additional storage. The unit stands on elegant gold-tone metal legs, offering both style and stability. A rear cable management hole ensures your space stays neat and clutter-free.",400,1600,,413,400,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
3 Drawer Multi Color,3d-multi-tvs,67eed26fc2f0d5fe393d6e3a,340,Another CSV product,400,1800,,410,400,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
Modern 1D Bedside,1d-bedside,679ce361b50d498d99a59192,60,"Keep your essentials within reach with this sleek Modern Bedside Cabinet in a sophisticated matte black finish. It features a spacious open shelf for quick access to books, devices, or d?or, and a lower cabinet with a smooth door and a stylish gold-tone knob for concealed storage. The compact, minimalist design makes it a perfect fit for bedrooms, offices, or living areas with limited space.",500,500,,65,300,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
4D Chest,4d-chest,679ce2fbb50d498d99a59191,260,4 drawer chest of drawer,400,400,,650,400,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
Classic Panel Headboard (Double),wooden-headboard-double,67eed619c2f0d5fe393d6e3e,130,"Elevate your bedroom decor with this timeless Classic Panel Headboard finished in rich African Wenge. Designed for durability and simplicity, this headboard features a wide central panel framed by sturdy vertical supports and a clean, straight-edged top. The wood grain texture enhances its natural elegance, making it a perfect fit for both modern and traditional interiors. Ideal for queen or double beds, this headboard brings warmth and sophistication to any room.",16,1370,,1350,32,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
Classic Panel Headboard(Queen),wooden-headboard-queen,67eed619c2f0d5fe393d6e3e,170,"Elevate your bedroom decor with this timeless Classic Panel Headboard finished in rich African Wenge. Designed for durability and simplicity, this headboard features a wide central panel framed by sturdy vertical supports and a clean, straight-edged top. The wood grain texture enhances its natural elegance, making it a perfect fit for both modern and traditional interiors. Ideal for queen or double beds, this headboard brings warmth and sophistication to any room.",16,1520,,1350,32,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
Classic Panel Headboard (King),wooden-headboard-king,67eed619c2f0d5fe393d6e3e,220,"Elevate your bedroom decor with this timeless Classic Panel Headboard finished in rich African Wenge. Designed for durability and simplicity, this headboard features a wide central panel framed by sturdy vertical supports and a clean, straight-edged top. The wood grain texture enhances its natural elegance, making it a perfect fit for both modern and traditional interiors. Ideal for queen or double beds, this headboard brings warmth and sophistication to any room.",16,1830,,1350,32,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
1Drawer Bedside,1-drawer-bedside,679ce361b50d498d99a59192,65,"Keep your essentials within reach with this sleek Modern Bedside Cabinet in a sophisticated matte black finish. It features a spacious open shelf for quick access to books, devices, or d?or, and a lower cabinet with a smooth door and a stylish gold-tone knob for concealed storage. The compact, minimalist design makes it a perfect fit for bedrooms, offices, or living areas with limited space.",320,350,,650,350,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
Pine and Steel,pine-steel,67eed26fc2f0d5fe393d6e3a,280,Tv stand with varnished pine and painted steel legs,350,1500,,400,0,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,66db2ae059c1f33bc0754e22,USD
4D Pattern,4d-pattern,67eed26fc2f0d5fe393d6e3a,350,Coffee Table,400,2000,,450,400,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
4D Pattern Coffee Table,2d-pattern,67eed30dc2f0d5fe393d6e3b,200,Coffee Table,900,1200,,450,900,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
T Table,t-table,67eed30dc2f0d5fe393d6e3b,240,Coffee Table,600,1200,,550,600,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
Primero Coffee Table,primero,67eed30dc2f0d5fe393d6e3b,220,Coffee Table,600,1200,,350,600,#d6c5a3;#cfd0ce;#f3eac3;#624f48;#ffffff;#0d0d0d;#c9b195;#8d6750;#A89F91;#5C4033;#3A2E2A;,663e701bc2d2b8bcb6bfd9ef,USD
